Run on Darwin 25.5.0
CPU: Apple M3 Pro
Cores: 11
Memory: 36.00 GB

| name                               | met (ms)               | iters | DataMovement (GB/s) | min (ms)               | mean (ms)              | max (ms)               | duration (ms) |
| ---------------------------------- | ---------------------- | ----- | ------------------- | ---------------------- | ---------------------- | ---------------------- | ------------- |
| ParseTwitter                       | 1.07232                | 100   | 0.5889342733512386  | 1.07232                | 1.07232                | 1.07232                | 107.232       |
| ParseTwitterNoStrictMode           | 1.04202                | 100   | 0.6060593846567245  | 1.04202                | 1.04202                | 1.04202                | 104.202       |
| ParseCitmCatalog                   | 1.90245                | 100   | 0.9078840442587192  | 1.90245                | 1.90245                | 1.90245                | 190.245       |
| ParseCitmCatalogWithReflection     | 1.49304                | 100   | 1.1568370572791085  | 1.49304                | 1.49304                | 1.49304                | 149.304       |
| ParseCitmCatalogWithReflectionLazy | 0.43758                | 100   | 3.9471730883495595  | 0.43758                | 0.43758                | 0.43758                | 43.758        |
| ParseCanada                        | 7.059769999999999      | 100   | 0.3188561383727799  | 7.05977                | 7.059769999999999      | 7.05977                | 705.977       |
| ParseCanadaWithReflection          | 2.03908                | 100   | 1.1039542342625106  | 2.03908                | 2.03908                | 2.03908                | 203.908       |
| ParseLargeJsonl                    | 28.282629999999997     | 100   | 0.4164991020990622  | 28.28263               | 28.282629999999997     | 28.28263               | 2828.263      |
| ParseSmall                         | 0.00232                | 100   | 0.26120689655172413 | 0.00232                | 0.00232                | 0.00232                | 0.232         |
| ParseMedium                        | 0.005620000000000001   | 100   | 0.25533807829181493 | 0.00562                | 0.005620000000000001   | 0.00562                | 0.562         |
| ParseLarge                         | 0.012629999999999999   | 100   | 0.24014251781472684 | 0.01263                | 0.012629999999999999   | 0.01263                | 1.263         |
| ParseExtraLarge                    | 1.2987                 | 100   | 0.23950257950257953 | 1.2987                 | 1.2987                 | 1.2987                 | 129.87        |
| ParseHeavyUnicode                  | 0.0096                 | 100   | 0.48635416666666675 | 0.0096                 | 0.0096                 | 0.0096                 | 0.96          |
| ParseHeavyIgnoreUnicode            | 0.008579999999999999   | 100   | 0.5441724941724941  | 0.00858                | 0.008579999999999999   | 0.00858                | 0.858         |
| ParseBool                          | 2e-05                  | 100   | 0.25                | 2e-05                  | 2e-05                  | 2e-05                  | 0.002         |
| ParseNull                          | 1.6666666666666667e-05 | 120   | 0.24000000000000002 | 1.6666666666666667e-05 | 1.6666666666666667e-05 | 1.6666666666666667e-05 | 0.002         |
| ParseInt                           | 2e-05                  | 100   | 0.25                | 2e-05                  | 2e-05                  | 2e-05                  | 0.002         |
| ParseFloat                         | 2.307692307692308e-05  | 130   | 0.39000000000000007 | 2.3076923076923076e-05 | 2.307692307692308e-05  | 2.3076923076923076e-05 | 0.003         |
| ParseFloatLongDec                  | 2.7272727272727273e-05 | 110   | 0.4766666666666667  | 2.7272727272727273e-05 | 2.7272727272727273e-05 | 2.7272727272727273e-05 | 0.003         |
| ParseFloatExp                      | 2.5e-05                | 120   | 0.36000000000000004 | 2.5e-05                | 2.5e-05                | 2.5e-05                | 0.003         |
| ParseSlowFallback                  | 0.00028000000000000003 | 100   | 0.18214285714285713 | 0.00028                | 0.00028000000000000003 | 0.00028                | 0.028         |
| ParseFloatCoordinate               | 0.00014000000000000001 | 100   | 0.2785714285714286  | 0.00014                | 0.00014000000000000001 | 0.00014                | 0.014         |
| ParseString                        | 0.00015                | 100   | 0.4200000000000001  | 0.00015                | 0.00015                | 0.00015                | 0.015         |
| StringifyLarge                     | 0.00357                | 100   | 0.8492997198879553  | 0.00357                | 0.00357                | 0.00357                | 0.357         |
| StringifyCanada                    | 4.31464                | 100   | 0.4844515417276993  | 4.31464                | 4.31464                | 4.31464                | 431.464       |
| StringifyCanadaWithReflection      | 3.9800299999999997     | 100   | 0.525203578867496   | 3.98003                | 3.9800299999999997     | 3.98003                | 398.003       |
| StringifyTwitter                   | 0.29691                | 100   | 1.5725910208480685  | 0.29691                | 0.29691                | 0.29691                | 29.691        |
| StringifyCitmCatalogWithReflection | 0.34692                | 100   | 1.442116338060648   | 0.34692                | 0.34692                | 0.34692                | 34.692        |
| StringifyCitmCatalog               | 0.48266                | 100   | 1.0365453942734015  | 0.48266                | 0.48266                | 0.48266                | 48.266        |
| StringifyBool                      | 9.900990099009901e-06  | 101   | 0.505               | 9.900990099009901e-06  | 9.900990099009901e-06  | 9.900990099009901e-06  | 0.001         |
| StringifyNull                      | 8.658008658008659e-06  | 231   | 0.4620000000000001  | 4.7619047619047615e-06 | 8.658008658008659e-06  | 4.761904761904762e-05  | 0.002         |
| StringifyInt                       | 9.090909090909091e-06  | 110   | 0.55                | 9.090909090909091e-06  | 9.090909090909091e-06  | 9.090909090909091e-06  | 0.001         |
| StringifyUInt                      | 8.333333333333334e-06  | 120   | 0.6                 | 8.333333333333334e-06  | 8.333333333333334e-06  | 8.333333333333334e-06  | 0.001         |
| StringifyFloat                     | 3.6363636363636364e-05 | 110   | 0.19250000000000003 | 3.6363636363636364e-05 | 3.6363636363636364e-05 | 3.6363636363636364e-05 | 0.004         |
| StringifyString                    | 7.000000000000001e-05  | 100   | 0.9                 | 7e-05                  | 7.000000000000001e-05  | 7e-05                  | 0.007         |
| MinifyCitmCatalog                  | 1.43868                | 100   | 1.2005477243028333  | 1.43868                | 1.43868                | 1.43868                | 143.868       |
| WritePrettyCitmCatalog             | 1.15175                | 100   | 0.43438159322769704 | 1.15175                | 1.15175                | 1.15175                | 115.175       |
| WritePrettyTwitter                 | 0.43965000000000004    | 100   | 1.0620220630046628  | 0.43965                | 0.43965000000000004    | 0.43965                | 43.965        |
| WritePrettyCanada                  | 6.856319999999999      | 100   | 0.3048623751516849  | 6.85632                | 6.856319999999999      | 6.85632                | 685.632       |

